data_type,time_total,time_increment,time_iosix,sensor_data
obd,0.412,0.0,2021-12-06 12:00:51.412000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,0.4183,0.0063,2021-12-06 12:00:51.418300,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,0.512,0.0,2021-12-06 12:00:51.512000,"{""fli"": 28.627}"
obd,0.612,0.0,2021-12-06 12:00:51.612000,"{""odometer_km"": 148425.424}"
obd,0.6283,0.0163,2021-12-06 12:00:51.628300,"{""veh_speed"": 35}"
obd,0.712,0.0,2021-12-06 12:00:51.712000,"{""aat"": 2}"
obd,0.812,0.0,2021-12-06 12:00:51.812000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,0.8388,0.0268,2021-12-06 12:00:51.838800,"{""e_load"": 77.647}"
obd,0.912,0.0,2021-12-06 12:00:51.912000,"{""c_temp"": 72}"
obd,1.012,0.0,2021-12-06 12:00:52.012000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,1.112,0.0,2021-12-06 12:00:52.112000,"{""rpm"": 1638.5}"
obd,1.1291,0.0171,2021-12-06 12:00:52.129100,"{""status"": ""unknown address"", ""address"": ""1535"", ""bus_id"": ""255""}"
obd,1.4183,0.0063,2021-12-06 12:00:52.418300,"{""veh_speed"": 35}"
obd,1.512,0.0,2021-12-06 12:00:52.512000,"{""aat"": 2}"
obd,1.612,0.0,2021-12-06 12:00:52.612000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,1.6283,0.0163,2021-12-06 12:00:52.628300,"{""e_load"": 74.118}"
obd,1.712,0.0,2021-12-06 12:00:52.712000,"{""c_temp"": 73}"
obd,1.812,0.0,2021-12-06 12:00:52.812000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,1.8382,0.0262,2021-12-06 12:00:52.838200,"{""rpm"": 1648.0}"
obd,2.4182,0.0062,2021-12-06 12:00:53.418200,"{""veh_speed"": 35}"
obd,2.512,0.0,2021-12-06 12:00:53.512000,"{""aat"": 2}"
obd,2.612,0.0,2021-12-06 12:00:53.612000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,2.6289,0.0169,2021-12-06 12:00:53.628900,"{""e_load"": 72.157}"
obd,2.712,0.0,2021-12-06 12:00:53.712000,"{""c_temp"": 73}"
obd,2.812,0.0,2021-12-06 12:00:53.812000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,2.8382,0.0262,2021-12-06 12:00:53.838200,"{""rpm"": 1639.5}"
obd,3.4181,0.0061,2021-12-06 12:00:54.418100,"{""veh_speed"": 34}"
obd,3.512,0.0,2021-12-06 12:00:54.512000,"{""aat"": 2}"
obd,3.612,0.0,2021-12-06 12:00:54.612000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,3.6281,0.0161,2021-12-06 12:00:54.628100,"{""e_load"": 80.392}"
obd,3.712,0.0,2021-12-06 12:00:54.712000,"{""c_temp"": 73}"
obd,3.812,0.0,2021-12-06 12:00:54.812000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,3.8381,0.0261,2021-12-06 12:00:54.838100,"{""rpm"": 1614.5}"
obd,4.418,0.006,2021-12-06 12:00:55.418000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,4.512,0.0,2021-12-06 12:00:55.512000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,4.612,0.0,2021-12-06 12:00:55.612000,"{""fli"": 28.627}"
obd,4.6235,0.0115,2021-12-06 12:00:55.623500,"{""odometer_km"": 148425.464}"
obd,4.712,0.0,2021-12-06 12:00:55.712000,"{""veh_speed"": 35}"
obd,4.812,0.0,2021-12-06 12:00:55.812000,"{""aat"": 2}"
obd,4.8379,0.0259,2021-12-06 12:00:55.837900,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,4.912,0.0,2021-12-06 12:00:55.912000,"{""e_load"": 87.451}"
obd,5.012,0.0,2021-12-06 12:00:56.012000,"{""c_temp"": 73}"
obd,5.112,0.0,2021-12-06 12:00:56.112000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,5.1182,0.0062,2021-12-06 12:00:56.118200,"{""rpm"": 1634.5}"
obd,5.4179,0.0059,2021-12-06 12:00:56.417900,"{""veh_speed"": 35}"
obd,5.512,0.0,2021-12-06 12:00:56.512000,"{""aat"": 2}"
obd,5.612,0.0,2021-12-06 12:00:56.612000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,5.6284,0.0164,2021-12-06 12:00:56.628400,"{""e_load"": 76.863}"
obd,5.712,0.0,2021-12-06 12:00:56.712000,"{""c_temp"": 73}"
obd,5.812,0.0,2021-12-06 12:00:56.812000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,5.8378,0.0258,2021-12-06 12:00:56.837800,"{""rpm"": 1652.0}"
obd,6.4178,0.0058,2021-12-06 12:00:57.417800,"{""veh_speed"": 36}"
obd,6.512,0.0,2021-12-06 12:00:57.512000,"{""aat"": 2}"
obd,6.612,0.0,2021-12-06 12:00:57.612000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,6.6278,0.0158,2021-12-06 12:00:57.627800,"{""e_load"": 73.725}"
obd,6.712,0.0,2021-12-06 12:00:57.712000,"{""c_temp"": 73}"
obd,6.812,0.0,2021-12-06 12:00:57.812000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,6.8378,0.0258,2021-12-06 12:00:57.837800,"{""rpm"": 1669.5}"
obd,7.4177,0.0057,2021-12-06 12:00:58.417700,"{""veh_speed"": 36}"
obd,7.512,0.0,2021-12-06 12:00:58.512000,"{""aat"": 2}"
obd,7.612,0.0,2021-12-06 12:00:58.612000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,7.6277,0.0157,2021-12-06 12:00:58.627700,"{""e_load"": 63.137}"
obd,7.712,0.0,2021-12-06 12:00:58.712000,"{""c_temp"": 73}"
obd,7.812,0.0,2021-12-06 12:00:58.812000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,7.8377,0.0257,2021-12-06 12:00:58.837700,"{""rpm"": 1671.0}"
obd,8.418,0.006,2021-12-06 12:00:59.418000,"{""veh_speed"": 36}"
obd,8.512,0.0,2021-12-06 12:00:59.512000,"{""aat"": 2}"
obd,8.612,0.0,2021-12-06 12:00:59.612000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,8.6278,0.0158,2021-12-06 12:00:59.627800,"{""e_load"": 48.627}"
obd,8.712,0.0,2021-12-06 12:00:59.712000,"{""c_temp"": 73}"
obd,8.812,0.0,2021-12-06 12:00:59.812000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,8.8377,0.0257,2021-12-06 12:00:59.837700,"{""rpm"": 1685.0}"
obd,9.4176,0.0056,2021-12-06 12:01:00.417600,"{""veh_speed"": 36}"
obd,9.512,0.0,2021-12-06 12:01:00.512000,"{""aat"": 2}"
obd,9.612,0.0,2021-12-06 12:01:00.612000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,9.6276,0.0156,2021-12-06 12:01:00.627600,"{""e_load"": 49.412}"
obd,9.712,0.0,2021-12-06 12:01:00.712000,"{""c_temp"": 73}"
obd,9.812,0.0,2021-12-06 12:01:00.812000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,9.8375,0.0255,2021-12-06 12:01:00.837500,"{""rpm"": 1715.5}"
obd,10.4177,0.0057,2021-12-06 12:01:01.417700,"{""veh_speed"": 37}"
obd,10.512,0.0,2021-12-06 12:01:01.512000,"{""aat"": 2}"
obd,10.612,0.0,2021-12-06 12:01:01.612000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,10.6275,0.0155,2021-12-06 12:01:01.627500,"{""e_load"": 50.98}"
