data_type,time_total,time_increment,time_iosix,sensor_data
obd,0.36,0.0,2021-12-06 09:05:17.360000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,0.46,0.0,2021-12-06 09:05:17.460000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,0.4868,0.0268,2021-12-06 09:05:17.486800,"{""fli"": 30.98}"
obd,0.56,0.0,2021-12-06 09:05:17.560000,"{""odometer_km"": 148416.392}"
obd,0.66,0.0,2021-12-06 09:05:17.660000,"{""veh_speed"": 0}"
obd,0.76,0.0,2021-12-06 09:05:17.760000,"{""aat"": 2}"
obd,0.7667,0.0067,2021-12-06 09:05:17.766700,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,0.86,0.0,2021-12-06 09:05:17.860000,"{""e_load"": 30.588}"
obd,0.96,0.0,2021-12-06 09:05:17.960000,"{""c_temp"": 16}"
obd,0.9769,0.0169,2021-12-06 09:05:17.976900,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,1.06,0.0,2021-12-06 09:05:18.060000,"{""rpm"": 675.0}"
obd,1.16,0.0,2021-12-06 09:05:18.160000,"{""status"": ""unknown address"", ""address"": ""1535"", ""bus_id"": ""255""}"
obd,1.26,0.0,2021-12-06 09:05:18.260000,"{""veh_speed"": 0}"
obd,1.2667,0.0067,2021-12-06 09:05:18.266700,"{""aat"": 2}"
obd,1.36,0.0,2021-12-06 09:05:18.360000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,1.46,0.0,2021-12-06 09:05:18.460000,"{""e_load"": 29.412}"
obd,1.4768,0.0168,2021-12-06 09:05:18.476800,"{""c_temp"": 16}"
obd,1.56,0.0,2021-12-06 09:05:18.560000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,1.66,0.0,2021-12-06 09:05:18.660000,"{""rpm"": 686.5}"
obd,2.1666,0.0066,2021-12-06 09:05:19.166600,"{""veh_speed"": 0}"
obd,2.26,0.0,2021-12-06 09:05:19.260000,"{""aat"": 2}"
obd,2.36,0.0,2021-12-06 09:05:19.360000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,2.3769,0.0169,2021-12-06 09:05:19.376900,"{""e_load"": 29.02}"
obd,2.46,0.0,2021-12-06 09:05:19.460000,"{""c_temp"": 16}"
obd,2.56,0.0,2021-12-06 09:05:19.560000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,2.5865,0.0265,2021-12-06 09:05:19.586500,"{""rpm"": 668.0}"
obd,3.1665,0.0065,2021-12-06 09:05:20.166500,"{""veh_speed"": 0}"
obd,3.26,0.0,2021-12-06 09:05:20.260000,"{""aat"": 2}"
obd,3.36,0.0,2021-12-06 09:05:20.360000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,3.3766,0.0166,2021-12-06 09:05:20.376600,"{""e_load"": 29.02}"
obd,3.46,0.0,2021-12-06 09:05:20.460000,"{""c_temp"": 16}"
obd,3.56,0.0,2021-12-06 09:05:20.560000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,3.5864,0.0264,2021-12-06 09:05:20.586400,"{""rpm"": 688.5}"
obd,4.1664,0.0064,2021-12-06 09:05:21.166400,"{""veh_speed"": 0}"
obd,4.26,0.0,2021-12-06 09:05:21.260000,"{""aat"": 2}"
obd,4.36,0.0,2021-12-06 09:05:21.360000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,4.3768,0.0168,2021-12-06 09:05:21.376800,"{""e_load"": 27.059}"
obd,4.46,0.0,2021-12-06 09:05:21.460000,"{""c_temp"": 16}"
obd,4.56,0.0,2021-12-06 09:05:21.560000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,4.5864,0.0264,2021-12-06 09:05:21.586400,"{""rpm"": 675.0}"
obd,5.1663,0.0063,2021-12-06 09:05:22.166300,"{""veh_speed"": 0}"
obd,5.26,0.0,2021-12-06 09:05:22.260000,"{""aat"": 2}"
obd,5.36,0.0,2021-12-06 09:05:22.360000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,5.3765,0.0165,2021-12-06 09:05:22.376500,"{""e_load"": 29.412}"
obd,5.46,0.0,2021-12-06 09:05:22.460000,"{""c_temp"": 16}"
obd,5.56,0.0,2021-12-06 09:05:22.560000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,5.5863,0.0263,2021-12-06 09:05:22.586300,"{""rpm"": 670.0}"
obd,6.1663,0.0063,2021-12-06 09:05:23.166300,"{""veh_speed"": 0}"
obd,6.26,0.0,2021-12-06 09:05:23.260000,"{""aat"": 2}"
obd,6.36,0.0,2021-12-06 09:05:23.360000,"{""status"": ""unknown pid"", ""pid"": ""34"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,6.3762,0.0162,2021-12-06 09:05:23.376200,"{""e_load"": 28.627}"
obd,6.46,0.0,2021-12-06 09:05:23.460000,"{""c_temp"": 16}"
obd,6.56,0.0,2021-12-06 09:05:23.560000,"{""status"": ""unknown pid"", ""pid"": ""17"", ""address"": ""2024"", ""bus_id"": ""255""}"
obd,6.5862,0.0262,2021-12-06 09:05:23.586200,"{""rpm"": 682.5}"
obd,7.1662,0.0062,2021-12-06 09:05:24.166200,"{""veh_speed"": 0}"
obd,7.26,0.0,2021-12-06 09:05:24.260000,"{""aat"": 2}"
